TYPE;FAILURECODE;DESCRIPTION
CAUSE;SUCIEDAD;SUCIEDAD O CONTAMINACION EN EL EQUIPO
PROBLEM;NOSUMIENER;NO SUMINISTRA ENERGIA
REMEDY;REPARAR;REPARAR
CAUSE;DANOSISTARRA;DANO EN EL SISTEMA DE ARRANQUE
REMEDY;CAMBIAR;CAMBIAR
CAUSE;DANOINSTSENS;DANO EN LOS INSTRUMENTOS O SENSORES DE VARIABLES
CAUSE;TUBERIAPERFO;TUBERIA PERFORADA
CAUSE;FALALIMSEN;FALTA  ALIMENTACION EN EL CIRCUITO DE SENALIZACION
REMEDY;REPARAR;REPARAR
REMEDY;BALANCEA;BALANCEAR
CAUSE;ACCESORIO;FALLA EN ACCESORIO (VALVULA, SELLO, EMPAQUE, BRIDA)
REMEDY;REPARAR;REPARAR
CAUSE;FILT.SUCIO;FILTRO SUCIO
REMEDY;CAMBIAR;CAMBIAR
CAUSE;DESPLTER;DESPLAZAMIENTO DEL TERRENO, DESLIZAMIENTO, EROSION
REMEDY;REPARAR;REPARAR
CAUSE;FABRICAC;DEFECTO DE FABRICACION (TUBO/ACCESORIO DEFECTUOSO)
REMEDY;REPARAR;REPARAR
CAUSE;DESGASTE;DESGASTE, CORROSION, GRIETAS, FISURAS EN EL EQUIPO
CAUSE;DESPLTER;DESPLAZAMIENTO DEL TERRENO, DESLIZAMIENTO, EROSION
PROBLEM;ESTRUCT;DANO EN RECUBRIMIENTO, ABOLLADURA, DEFORMACION
CAUSE;DETERIOR;DETERIORO
REMEDY;CAMBIAR;CAMBIAR
CAUSE;FAL.ALIM;FALLA DE ALIMENTACIÓN
CAUSE;AMBIENTE;CONDICIONES AMBIENTALES
PROBLEM;DANO.COM;NO HAY COMUNICACIÓN
CAUSE;DES.FIRM;DESACTUALIZACION DE FIRMWARE
REMEDY;REPROGRA;REPROGRAMAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;DESPLTER;DESPLAZAMIENTO DEL TERRENO, DESLIZAMIENTO, EROSION
REMEDY;REPARAR;REPARAR
PROBLEM;CORTO;CORTOCIRCUITO INTERNO DE LA LUMINARIA
CAUSE;DESPLTER;DESPLAZAMIENTO DEL TERRENO, DESLIZAMIENTO, EROSION
PROBLEM;FALTAALIMENT;FALTA ALIMENTACION DE CA/CD
CAUSE;CONTAMINACION;CONTAMINACION
REMEDY;REINICIAR;REINICIAR
CAUSE;CABLE;CABLE DANADO
REMEDY;AJUSTAR;AJUSTAR
PROBLEM;ANTENA;ANTENA
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;ENRUTAMIENTO;ENRUTAMIENTO
REMEDY;CAMBIAR;CAMBIAR
CAUSE;PUERTO;DANO EN PUERTO
REMEDY;CONFIGURAR;CONFIGURAR
CAUSE;DANSISOPERATI;DANO SISTEMA OPERATIVO
REMEDY;CONFIGURAR;CONFIGURAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;DANOTOTAL;DANO TOTAL
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REINICIAR;REINICIAR
REMEDY;CONFIGURAR;CONFIGURAR
PROBLEM;SIST_OPERATIV;SISTEMA OPERATIVO
PROBLEM;MEMORIFLASH;MEMORIA FLASH
REMEDY;CAMBIAR;CAMBIAR
REMEDY;RECARGAR;RECARGAR
REMEDY;REPONER;REPONER
PROBLEM;ESTRUCTURAL;ESTRUCTURAL
PROBLEM;NOCONEVOLTCOR;NO CONECTA EL VOLTAJE Y LA CORRIENTE DEL ROTOR
CAUSE;PROTECTOR;DANO PROTECTOR
CAUSE;DANOTOTAL;DANO TOTAL
REMEDY;RESET_REMOTO;REINICIO REMOTO
CAUSE;MOD.ELECT;MODULO ELECTRONICO
CAUSE;SUMI.APAG;SUMINISTRO APAGADO
PROBLEM;SUMI_DC;SUMINISTRO DE DC
REMEDY;AJUSTAR;AJUSTAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CONFIGUR_MODBUS;CONFIGURAR
CAUSE;CABLE;CABLE DANADO
REMEDY;CONFIGURAR;CONFIGURAR
REMEDY;RESET_LOCAL;REINICIO LOCAL
CAUSE;CONECTOR;CONECTOR DANADO
CAUSE;CONECTOR;CONECTOR DANADO
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CONTROL;DANO CONTROL
CAUSE;CONTROL;DANO CONTROL
PROBLEM;NOENVSENALAR;NO ENVIA SENAL ALARMA
REMEDY;CORREGIR;CORREGIR
REMEDY;CORREGIR;CORREGIR
CAUSE;APERCIRC;APERTURA DEL CIRCUITO
REMEDY;CERRAR;CERRAR
REMEDY;AJUSTAR;AJUSTAR
REMEDY;REPARAR;REPARAR
CAUSE;DESCALTRANSDUC;DESCALIBRACION DEL TRANSDUCTOR
REMEDY;CORREGIR;CORREGIR
REMEDY;CARGAR;CARGAR
PROBLEM;CORRIGENERADOR;EL GENERADOR CON EXCESIVA CORRIENTE EN EL CAMPO
REMEDY;CORREGIR;CORREGIR
PROBLEM;ALARMFALVENTIL;NO ALARMA EN CASO DE FALLA VENTILADORES
REMEDY;CORREGIR;CORREGIR
REMEDY;CORREGIR;CORREGIR
PROBLEM;NOREGULAPOTE;NO REGULA POTENCIA
CAUSE;SISMECANDIST;SISTEMA MECANICO DEL DISTRIBUIDOR ATASCADO
REMEDY;REPARAR;REPARAR
PROBLEM;NOVELOSUICH;NO SENAL DE VELOCIDAD Y SUICHES
CAUSE;AFLOJAM.DESGAS;AFLOJAMIENTO DESGASTE DE JUNTAS
CAUSE;DESGASTE;DESGASTE, CORROSION, GRIETAS, FISURAS EN EL EQUIPO
REMEDY;CORREGIR;CORREGIR
CAUSE;DESGASTE;DESGASTE, CORROSION, GRIETAS, FISURAS EN EL EQUIPO
CAUSE;DESGASTE;DESGASTE, CORROSION, GRIETAS, FISURAS EN EL EQUIPO
CAUSE;TERM.SENSATERR;TERMOPOZO DE SENSOR DE TEMPERATURA ATERRIZADO Y GENERA DISPARO DE UNIDAD
REMEDY;CAMBIAR;CAMBIAR
REMEDY;COMPLETAR;COMPLETAR
PROBLEM;NOINDITEMPERA;NO INDICA EL NIVEL DE TEMPERATURA DE ACEITE
CAUSE;DANOCOJINET;DESGASTE DEL COJINETE
CAUSE;ACUMLODOS;ACUMULACION DE PARTICULAS/LODOS
REMEDY;CORREGIR;CORREGIR
CAUSE;TARJFALL;TARJETA DE COMUNICACIONES FALLADA
PROBLEM;BAJA.FLUJO;BAJO FLUJO AGUA
REMEDY;LAVAR;LAVAR
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;LIMPIAR;LIMPIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;AISLADORREVE;FALLA DEBIDO A AISLADOR GIRATORIO REVENTADO
PROBLEM;OBSTRU;OBSTRUCCIÓN
CAUSE;SELL.MAL;SELLO MALO
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
PROBLEM;ROTURA;ROTURA
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
CAUSE;VIDA.UT;FIN DE VIDA UTIL
CAUSE;CORRINT;CORROSION INTERNA
REMEDY;CAMBIAR;CAMBIAR
CAUSE;OPERAC;OPERACION INCORRECTA
REMEDY;REPARAR;REPARAR
CAUSE;EQUIPOS;FALLA DE EQUIPOS DE CONTROL/ALIVIO
PROBLEM;OBSTRUCC;OBSTRUCCION
CAUSE;CORRINT;CORROSION INTERNA
REMEDY;CAMBIAR;CAMBIAR
CAUSE;TERCEROS;DANOS CAUSADOS POR TERCEROS (INCLUYE VANDALISMO)
REMEDY;REPARAR;REPARAR
CAUSE;FAT.OBS;FATIGA POR DESGASTE DEL MATERIAL
REMEDY;CAMBIAR;CAMBIAR
CAUSE;QUEM.ELM;QUEMADO POR ELEMENTOS SOBRE LA RED
PROBLEM;FALL.HER;FALLA EN HERRAJES
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
CAUSE;FALT.LUB;FALTA DE LUBRICACION
CAUSE;SELL.DES;SELLO DESALINEADO
PROBLEM;ATASCAD;ATASCADA (VALVULA NO OPERA)
REMEDY;CAMBIAR;CAMBIAR
REMEDY;LIMPIAR;LIMPIAR
CAUSE;BAJAPRESION;BAJA PRESIÓN
REMEDY;REINSTAL;REINSTALAR
PROBLEM;NOINDICAPOSI;NO INDICA LA APERTURA O CIERRE
CAUSE;ALTA.PRES;ALTA PRESION
REMEDY;CAMBIAR;CAMBIAR
CAUSE;MANIOBRA;ROTURA AL OPERAR
PROBLEM;BRAZODESALID;BRAZOS DESALINEADOS
CAUSE;RUPTURAMECAN;RUPTURA DEL BLOQUEO MECANICO
CAUSE;SUCIEDAD;TRANSFORMADOR  DE POTENCIAL CORROIDO
CAUSE;DANOMECANICO;DANO MECANICO EN EL MECANISMO DE ACCINAMIENTO
REMEDY;RESTABLECER;RESTABLECER
REMEDY;CAMBIAR;CAMBIAR
CAUSE;RODAMIPEGADO;RODAMIENTOS DE LAS COLUMNAS PEGADOS
CAUSE;CONTAMINACION;CONTAMINACION
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;HUMEGABICONT;HUMEDAD EN GABINETE DE CONTROL
CAUSE;EMPAQUEDANAD;EMPAQUETADURA DANADA
REMEDY;REPARAR;REPARAR
CAUSE;CORROSION;CORROSION
REMEDY;REPARAR;REPARAR
CAUSE;ACCESORIO;FALLA EN ACCESORIO (VALVULA, SELLO, EMPAQUE, BRIDA)
PROBLEM;SOBRECAL;SOBRECALENTADA(O)
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;BALANCEA;BALANCEAR
CAUSE;RODFALLA;RODAMIENTO FALLADO
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;DANO.CONX;DAÑO EN CONEXIONES ELECTRICAS
REMEDY;REPARAR;REPARAR
CAUSE;FALLA.MANDO;FALLA DEL MANDO DE APERTURA O CIERRE
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;DPS.PRI;DPS FALLADO
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REVISAR;REVISAR
REMEDY;REMPLAZAR;REMPLAZAR
CAUSE;DESGASTE_USO;DESGASTE POR USO
REMEDY;REPARAR;REPARAR
CAUSE;COMPRESO_FALLA;COMPRESOR EN FALLA
CAUSE;CORTO_SIST_ELE;CORTO EN EL SISTEMA ELECTRICO
CAUSE;FUSIBLE_MALO;FUSIBLES DEFECTUOSOS
PROBLEM;FUGA;FUGA
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
FAILURECLASS;BATERIAS;BATERIAS
CAUSE;TERFLOJA;TERMINALES FLOJAS/ROTAS
REMEDY;CAMBIAR;CAMBIAR
CAUSE;BOBINAQUEMAD;FALLA DEBIDO A BOBINA DE CIERRE/APERT QUEMADA
CAUSE;TRINQUEDESPO;TRINQUETE DESPOSICIONADO
CAUSE;INDICADORDAN;INDICADOR DANADO
CAUSE;INDICADORSUC;INDICADOR SUCIO
CAUSE;TRINQUEPEGAD;TRINQUETE DE CIERRE/APERT PEGADO
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CALIBRAR;CALIBRAR
CAUSE;DANOMECANICO;DANO MECANICO EN EL MECANISMO DE ACCINAMIENTO
CAUSE;PRENSAESDEFE;PRENSAESTOPAS  GABINETE CONEXIONADO DEFECTUOSAS
PROBLEM;CONECTDEFECT;CONECTOR DEFECTUOSO
CAUSE;SUICHEDESCAL;SUICHE TAMBOR DESPOSICIONADO
PROBLEM;NOLUCEACEPTA;NO LUCE ACEPTABLE
REMEDY;LIMPIAR;LIMPIAR
CAUSE;CABLESUELTO;CABLE DE PUESTA A TIERRA SUELTO
CAUSE;DESGASTE;DESGASTE DEL MATERIAL
REMEDY;REVISAR;REVISAR
CAUSE;VALVULACERRA;VALVULA CERRADA
REMEDY;ABRIR;ABRIR
REMEDY;REPARAR;REPARAR
CAUSE;TANQUEPERFOR;TANQUE PERFORADO
CAUSE;TUBERIAPERFO;TUBERIA PERFORADA
CAUSE;RADIADORROTO;RADIADOR ROTO
REMEDY;CERRAR;CERRAR
CAUSE;VALVULACERRA;VALVULA CERRADA
REMEDY;REPARAR;REPARAR
PROBLEM;NOMUEVETRAFO;NO SE PUEDE MOVER EL TRANSFORMADOR
CAUSE;RIELESDESALI;RIELES DESALINEADOS
PROBLEM;NODREDERACE;NO DRENA DERRAMES DE ACEITE
PROBLEM;NOENVSENDISP;NO ENVIA SENAL  DISPARO POR FALLA  TRANSFORMADOR
PROBLEM;NOVAVOSARECA;NO VARIA VOLTAJE SALIDA TRAFO REGULADOR BAJO CARGA
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;DANOINFRAEST;DANO INFRAESTUCTURA DE SOPORTE
REMEDY;REPARAR;REPARAR
REMEDY;SOLDAR;SOLDAR
CAUSE;FALALIMCONT;FALLA DEBIDO A FALTA DE ALIMENTACION EN CONTROL
CAUSE;TRINQUEDESPO;TRINQUETE DESPOSICIONADO
CAUSE;BIELAREVENTA;BIELA REVENTADA
CAUSE;DANOMECANICO;DANO MECANICO EN EL MECANISMO DE ACCINAMIENTO
CAUSE;INDICADORDAN;INDICADOR DANADO
REMEDY;CALIBRAR;CALIBRAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;INDICADORSUC;INDICADOR SUCIO
CAUSE;INDICADORDAN;INDICADOR DANADO
CAUSE;FUNDACDETERI;FUNDACION DETERIORADA
REMEDY;REPARAR;REPARAR
PROBLEM;INDICASUELTO;INDICADOR DE POSICION SUELTO
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;CABPUETIEFAL;CABLE DE PUESTA A TIERRA SUELTO O EN MAL ESTADO /AUSENTE
CAUSE;TRINQUEPEGAD;TRINQUETE DE CIERRE/APERT PEGADO
CAUSE;DESCALIBRACION;BRAZOS DE ACCIONAMIENTO DESCALIBRADOS
REMEDY;CALIBRAR;CALIBRAR
REMEDY;LUBRICAR;LUBRICAR
REMEDY;RESTABLECER;RESTABLECER
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CALENTAMIENTO;CALENTAMIENTO
CAUSE;INDICADORSUC;INDICADOR SUCIO
REMEDY;PINTAR;PINTAR
PROBLEM;FUGAACEITE;FUGA DE ACEITE
REMEDY;CAMBIAR;CAMBIAR
CAUSE;HUNDIMTERRE;HUNDIMIENTO DEL TERRENO
REMEDY;RECONSTRUIR;RECONSTRUIR
REMEDY;PINTAR;PINTAR
PROBLEM;NORECTIVOL;NO RECTIFICA VOLTAJE
CAUSE;CABTIERROTO;CABLE DE PUESTA A TIERRA CON HILOS ROTOS
REMEDY;SOLDAR;SOLDAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;MODUPOTEN;DANO MODULO DE POTENCIA
PROBLEM;PROTECCIONES;PROTECCIONES
REMEDY;REPONER;REPONER
REMEDY;REPARAR;REPARAR
CAUSE;ACOP_BBA_FALLA;ACOPLE DE BOMBA HIDRAULICA EN FALLA
REMEDY;CORREGIR;CORREGIR
REMEDY;REMPLAZAR;REMPLAZAR
REMEDY;REPARAR;REPARAR
CAUSE;FUSIBLE_MALO;FUSIBLES DEFECTUOSOS
CAUSE;COJINETE_FALLA;COJINETES EN FALLA POR DESGASTE
REMEDY;REPARAR;REPARAR
CAUSE;BBA_HCA_MAL_IN;INCORRECTA INSTALACION MECANICA DE LA BOMBA HIDRAULICA
CAUSE;RETEN_FALLA;SELLO O RETENEDOR EN FALLA
REMEDY;REMPLAZAR;REMPLAZAR
CAUSE;VALV_HCA_FALLA;VALVULAS CON FALLA POR SUCIEDAD, FUGA O DESGASTE
CAUSE;BATERIA_FALLA;BATERIA DESCARGADA O DEFECTUOSA
REMEDY;REPARAR;REPARAR
REMEDY;REMPLAZAR;REMPLAZAR
REMEDY;REMPLAZAR;REMPLAZAR
CAUSE;COJINETE_FALLA;COJINETES EN FALLA POR DESGASTE
CAUSE;ENGR_DESGASTE;ENGRANAJES EN FALLA POR DESGASTE
CAUSE;OPERACION_MALA;OPERACION INCORRECTA
REMEDY;REMPLAZAR;REMPLAZAR
CAUSE;ENGR_DESGASTE;ENGRANAJES EN FALLA POR DESGASTE
REMEDY;REMPLAZAR;REMPLAZAR
CAUSE;NIVEL_HCO_BAJO;BAJO NIVEL DE FLUIDO HIDRAULICO
CAUSE;ENGR_DESAJUSTE;ENGRANAJES DESAJUSTADOS
CAUSE;BALLESTA_ROTA;BALLESTAS ROTAS
CAUSE;LLANTA_DESGAST;LLANTAS EN FALLA POR DESGASTE
CAUSE;GUAYA_FALLA;GUAYA DESAJUSTADA O DESGASTADA
REMEDY;REPARAR;REPARAR
REMEDY;REMPLAZAR;REMPLAZAR
REMEDY;SOLDAR;SOLDAR
CAUSE;CORROSION;CORROSION
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;DESTRUCCION;DESTRUCCION
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;LIMPIAR;LIMPIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;ENVEJEC;ENVEJECIMIENTO DEL AISLAMIENTO
CAUSE;FALALIMSEN;FALTA  ALIMENTACION EN EL CIRCUITO DE SENALIZACION
REMEDY;SOLDAR;SOLDAR
REMEDY;PINTAR;PINTAR
REMEDY;SUMINISTRAR;SUMINISTRAR
REMEDY;RESTABLECER;RESTABLECER
PROBLEM;NOLUCEACEPTA;NO LUCE ACEPTABLE
PROBLEM;FUGAACEITE;FUGA DE ACEITE
CAUSE;EMPAQUEDANAD;EMPAQUETADURA DANADA
CAUSE;CONTREFRROTO;CONTENEDOR REFRIGERANTE ROTO
CAUSE;DANOTARJCONT;DANO EN LA TARJETA DE CONTROL
REMEDY;REPARAR;REPARAR
CAUSE;INYECTOSUCIO;INYECTORES SUCIOS
PROBLEM;NOENVSENALAR;NO ENVIA SENAL ALARMA
REMEDY;CAMBIAR;CAMBIAR
CAUSE;SOBRCALENT;SOBRECALENTAMIENTO
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
REMEDY;AJUSTAR;AJUSTAR
PROBLEM;VIBRACIO;VIBRACION EXCESIVA
PROBLEM;FUGA;FUGA
PROBLEM;FUGAEMP;FUGA POR EMPAQUETADURA
CAUSE;RODRECAL;RODAMIENTO RECALENTADO
REMEDY;REPARAR;REPARAR
REMEDY;LIMPIAR;LIMPIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CORRINT;CORROSION INTERNA
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;LIMPIAR;LIMPIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;ACCESORIO;FALLA EN ACCESORIO (VALVULA, SELLO, EMPAQUE, BRIDA)
CAUSE;OPERAC;OPERACION INCORRECTA
REMEDY;REPARAR;REPARAR
CAUSE;INSTALAC;DEFECTO DE CONSTRUCCION, INSTALACION, MONTAJE
REMEDY;INSPECCI;INSPECCI
REMEDY;REPARAR;REPARAR
CAUSE;FAL.ALIM;FALLA DE ALIMENTACIÓN
REMEDY;INSPECCI;INSPECCIONAR
REMEDY;REVISAR;REVISAR
REMEDY;INSPECCI;INSPECCI
REMEDY;REVISAR;REVISAR
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;FREC.RADIO;RADIOFRECUENCIA
REMEDY;CAMBIAR;CAMBIAR
CAUSE;MODUPOTEN;DANO MODULO DE POTENCIA
REMEDY;REPARAR;REPARAR
PROBLEM;PERDIDASENAL;PERDIDA DE LA SENAL
CAUSE;DESCONFIPROTO;DESCONFIGURACION DE PROTOCOLO
REMEDY;CONFIGURAR;CONFIGURAR
REMEDY;REPARAR;REPARAR
PROBLEM;DISP.BLO;BLOQUEO DEL DISPOSITIVO
CAUSE;PERDIENRUTAM;PERDIDAD DE ENRUTAMIENTO
CAUSE;QUEMADO;COMPONENTE QUEMADO
FAILURECLASS;TORRE;TORRE
CAUSE;CABLE;CABLE DANADO
CAUSE;DETERIORO;DETERIORO ESTRUCTURA
PROBLEM;DISP.BLO;BLOQUEO DEL DISPOSITIVO
CAUSE;BLOQUEO;BLOQUEO
PROBLEM;PROTECCIONES;PROTECCIONES
CAUSE;PERDI.CONFIG;PERDIDAD DE CONFIGURACION
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CABLE;CABLE DANADO
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;CONCENT_BLOQ;CONCENTRADOR BLOQUEADO
REMEDY;CAMBIAR;CAMBIAR
REMEDY;RESTABLECER;RESTABLECER
REMEDY;RESTABLECER;RESTABLECER
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CONECTOR;CONECTOR DANADO
REMEDY;RESTABLECER;RESTABLECER
CAUSE;CABLE;CABLE DANADO
REMEDY;AJUSTAR;AJUSTAR
REMEDY;RESET_REMOTO;REINICIO REMOTO
CAUSE;CONECTOR;CONECTOR DANADO
REMEDY;AJUSTAR;AJUSTAR
REMEDY;RESET_LOCAL;REINICIO LOCAL
REMEDY;RESET_REMOTO;REINICIO REMOTO
PROBLEM;DRIVER_61850;DRIVER DE COMUNICACION 61850
CAUSE;61850.CORRUP;DRIVER 61850 CORRUPTO
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;MODULO_IO;SENALES ENTRADA O SALIDA
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CONFIGUR;CONFIGURAR
PROBLEM;NOPARABOMBA;NO PARAN LAS BOMBAS
CAUSE;CONTROL;DANO CONTROL
REMEDY;VERIFICAR;VERIFICAR
REMEDY;CORREGIR;CORREGIR
CAUSE;VALVABIERT;VALVULA ABIERTA
PROBLEM;NOSISMANVALV;NO REGULA EL SIST EN FORMA MANUAL MEDIANTE LA VÁLV
CAUSE;DEVANADOABIER;DEVANADO DEL ROTOR ABIERTO
CAUSE;PERILLAMALA;PERILLA DE SELECCIÓN MALA
REMEDY;REPARAR;REPARAR
CAUSE;TRANSDESC;TRANSDUCTOR DESCALIBRADO
REMEDY;REPARAR;REPARAR
PROBLEM;FALLALIMENTAC;FALLA EN ALIMENTACION
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CIRCUCONTPRE;DANO EN CIRCUITO CONTROL DE CONTACTOR DE PREEXITAC
REMEDY;CORREGIR;CORREGIR
REMEDY;CORREGIR;CORREGIR
REMEDY;LIMPIAR;LIMPIAR
CAUSE;DANO.VALVU;DANO DE VALVULAS
CAUSE;DISTASENSRUED;DISTANCIA SENSOR-RUEDA (GAP) NO APROPIADA
REMEDY;CORREGIR;CORREGIR
REMEDY;CORREGIR;CORREGIR
PROBLEM;ALARMREGULAD;NO DA ALARMA DE FALLAS DEL REGULADOR
PROBLEM;NOFRECUENC;NO SUMINISTRA UNA FRECUENCIA
CAUSE;DANOTARJ;DANO EN LA TARJETA
CAUSE;FATIGA;FATIGA
CAUSE;FALSUMTRAELECT;FALLA SUMINISTRO DE TRANSMISION ELECTRICA
CAUSE;FALLAISLAM;FALLA AISLAMIENTO ELECTRICO ENTRE FASES
FAILURECLASS;UPH;UNIDAD DE POTENCIA OLEOHIDRAULICA
PROBLEM;PERD.PRES;NO HAY PRESION O ES MENOR A LO REQUERIDO
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
CAUSE;DESGASTE;DESGASTE, CORROSION, GRIETAS, FISURAS EN EL EQUIPO
CAUSE;PRESVIBRA;PRESENCIA DE VIBRACIONES
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
PROBLEM;VIBRAC.DESPLAZA;VIBRACION RUIDO CARRO DESPLAZAMIENTO
CAUSE;DANOINSTRUMEN;DANO DE INSTRUMENTOS
REMEDY;CORREGIR;CORREGIR
REMEDY;CORREGIR;CORREGIR
CAUSE;DANOINSTRUMEN;DANO DE INSTRUMENTOS
CAUSE;CONTAM.SEDIMEN;CONTAMINACION - SEDIMENTACION
REMEDY;AJUSTAR;AJUSTAR
REMEDY;AJUSTAR;AJUSTAR
REMEDY;AJUSTAR;AJUSTAR
PROBLEM;TARJ.PRO.NOCOR;TARJETA DE PROCESAMIENTO NO CORRE
PROBLEM;SIN.VOLT;SIN VOLTAJE DE ALIMENTACION
CAUSE;FUSI.QUEMA;FUSIBLES QUEMADOS
PROBLEM;NO.EJEC.ORDEN;NO SE EJECUTAN LAS ORDENES DEL PROGRAMADOR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;FUGA.AGUA;FUGA DE AGUA POR INTERCAMBIADOR
CAUSE;RUP.TUBER;RUPTURA TUBERIA INTERNA O EXTERNA INTERCAMBIADOR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;OBSTRUSEDI;OBSTRUCCION PARCIAL POR SEDIMENTOS
REMEDY;RETROLAVAR;REALIZAR RETROLAVADO
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;TEMPFUERAGO;TEMPERATURA DE SALIDA DE AGUA FUERA DE RANGO
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
CAUSE;FILTRACTANQ;FILTRACION EN TANQUE
CAUSE;FALLA.CONTROL;FALLA  CONTROL Y/O MOTOBOMBAS
CAUSE;TRANSMIS2;
CAUSE;DPS;DISPOSTIVO PROTECCION SOBRETENSIONES
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CORREXT;CORROSION EXTERNA
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CONTAMIN;ELEMENTOS EXTRANOS O CONTAMINANTES EN EL FLUIDO
REMEDY;LIMPIAR;LIMPIAR
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;INSTALAC;DEFECTO DE CONSTRUCCION, INSTALACION, MONTAJE
CAUSE;CORTO.TE;DANO POR TERCEROS
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CORT.VEG;CORTOCIRCUITO POR VEGETACION SOBRE LA LINEA
CAUSE;CORTO.AT;CORTOCIRCUITO POR DESCARGA ATMOSFERICA
CAUSE;DISTANCI;PERDIDA DE DISTANCIA DE SEGURIDAD ENTRE FASES
CAUSE;EMPALME;FALLA EN EMPALME
REMEDY;REPARAR;REPARAR
REMEDY;AJUSTAR;AJUSTAR
REMEDY;N/A;NO APLICA
PROBLEM;FALL.TEN;FALLA/OSCILACIÓN DE TENSION EN RED
REMEDY;CAMBIAR;CAMBIAR
REMEDY;LUBRICAR;LUBRICAR
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;NOABREVALVADM;NO ABRE LA VÁLVULA DE ADMISION
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REINSTAL;REINSTALAR
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
CAUSE;AISLADOR;FALLA DE AISLADOR
CAUSE;DESGASTE;DESGASTE, CORROSION, GRIETAS, FISURAS EN EL EQUIPO
CAUSE;ATMOSF;ROTURA POR DESCARGA ATMOSFERICA
REMEDY;CAMBIAR;CAMBIAR
CAUSE;SUICHELIMDESC;SUICHE LIMITE DE PARO MOTOR DESCALIBRADO
REMEDY;CALIBRAR;CALIBRAR
